(1, 1068)
(2, 3664)
(3, 11610)
(4, 21561)
(5, 20162)
(6, 28667)
(7, 34566)
(8, 44617)
(9, 49877)
(10, 55036)
(11, 76354)
(12, 90479)
(13, 104927)
(14, 106649)
(15, 120924)
(16, 129534)
(17, 150898)
(18, 161210)
(19, 169363)
(20, 206113)
(21, 222548)
(22, 256042)
(23, 286038)
(24, 299023)
(25, 336358)
